day,event,trial,genotype,RU
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
84,1,B,S106Foxo,A
86,1,B,S106Foxo,A
86,1,B,S106Foxo,A
86,1,B,S106Foxo,A
86,1,B,S106Foxo,A
86,1,B,S106Foxo,A
86,1,B,S106Foxo,A
86,1,B,S106Foxo,A
86,1,B,S106Foxo,A
88,1,B,S106Foxo,A
88,1,B,S106Foxo,A
88,1,B,S106Foxo,A
88,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
91,1,B,S106Foxo,A
93,1,B,S106Foxo,A
93,1,B,S106Foxo,A
93,1,B,S106Foxo,A
93,1,B,S106Foxo,A
93,1,B,S106Foxo,A
95,1,B,S106Foxo,A
95,1,B,S106Foxo,A
95,1,B,S106Foxo,A
95,1,B,S106Foxo,A
98,1,B,S106Foxo,A
98,1,B,S106Foxo,A
32,1,B,S106Foxo,P
39,1,B,S106Foxo,P
39,1,B,S106Foxo,P
44,1,B,S106Foxo,P
44,1,B,S106Foxo,P
56,1,B,S106Foxo,P
58,1,B,S106Foxo,P
60,1,B,S106Foxo,P
63,1,B,S106Foxo,P
65,1,B,S106Foxo,P
65,1,B,S106Foxo,P
65,1,B,S106Foxo,P
67,1,B,S106Foxo,P
67,1,B,S106Foxo,P
67,1,B,S106Foxo,P
70,1,B,S106Foxo,P
70,1,B,S106Foxo,P
70,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
72,1,B,S106Foxo,P
74,1,B,S106Foxo,P
74,1,B,S106Foxo,P
74,1,B,S106Foxo,P
74,1,B,S106Foxo,P
74,1,B,S106Foxo,P
74,1,B,S106Foxo,P
74,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
77,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
79,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
81,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
84,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
86,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
88,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
91,1,B,S106Foxo,P
93,1,B,S106Foxo,P
93,1,B,S106Foxo,P
93,1,B,S106Foxo,P
93,1,B,S106Foxo,P
93,1,B,S106Foxo,P
93,1,B,S106Foxo,P
95,1,B,S106Foxo,P
